antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'BaO_2'}),frozenset({'Fe2O3_0'}),0.1,0.71,0.1,1.0,1.4,0.03,inf
frozenset({'BaO_1'}),frozenset({'SnO2_0'}),0.12,0.9,0.12,1.0,1.11,0.01,inf
frozenset({'SiO2_0'}),frozenset({'Na2O_0'}),0.33,0.8,0.33,1.0,1.26,0.07,inf
frozenset({'Na2O_1'}),frozenset({'P2O5_0'}),0.14,0.65,0.14,1.0,1.53,0.05,inf
frozenset({'Na2O_1'}),frozenset({'SO2_0'}),0.14,0.9,0.14,1.0,1.11,0.01,inf
frozenset({'Na2O_1'}),frozenset({'SnO2_0'}),0.14,0.9,0.14,1.0,1.11,0.01,inf
frozenset({'Al2O3_0'}),frozenset({'SnO2_0'}),0.53,0.9,0.53,1.0,1.11,0.05,inf
frozenset({'BaO_2'}),frozenset({'SnO2_0'}),0.1,0.9,0.1,1.0,1.11,0.01,inf
frozenset({'BaO_2'}),frozenset({'Na2O_0'}),0.1,0.8,0.1,1.0,1.26,0.02,inf
frozenset({'BaO_2'}),frozenset({'MgO_0'}),0.1,0.51,0.1,1.0,1.96,0.05,inf
frozenset({'SiO2_1'}),frozenset({'SO2_0'}),0.29,0.9,0.29,1.0,1.11,0.03,inf
frozenset({'P2O5_1'}),frozenset({'Na2O_0'}),0.29,0.8,0.29,1.0,1.26,0.06,inf
frozenset({'BaO_1'}),frozenset({'SO2_0'}),0.12,0.9,0.12,1.0,1.11,0.01,inf
frozenset({'PbO_2'}),frozenset({'SnO2_0'}),0.12,0.9,0.12,1.0,1.11,0.01,inf
frozenset({'Fe2O3_1'}),frozenset({'SO2_0'}),0.27,0.9,0.27,1.0,1.11,0.03,inf
frozenset({'PbO_2'}),frozenset({'SiO2_0'}),0.12,0.33,0.12,1.0,3.06,0.08,inf
frozenset({'PbO_2'}),frozenset({'SO2_0'}),0.12,0.9,0.12,1.0,1.11,0.01,inf
frozenset({'PbO_2'}),frozenset({'BaO_0'}),0.12,0.78,0.12,1.0,1.29,0.03,inf
frozenset({'Na2O_1'}),frozenset({'BaO_0'}),0.14,0.78,0.14,1.0,1.29,0.03,inf
frozenset({'CaO_2'}),frozenset({'BaO_0'}),0.14,0.78,0.14,1.0,1.29,0.03,inf
frozenset({'PbO_2'}),frozenset({'Na2O_0'}),0.12,0.8,0.12,1.0,1.26,0.02,inf
frozenset({'PbO_2'}),frozenset({'Fe2O3_0'}),0.12,0.71,0.12,1.0,1.4,0.03,inf
frozenset({'Al2O3_1'}),frozenset({'SO2_0'}),0.41,0.9,0.41,1.0,1.11,0.04,inf
frozenset({'Na2O_1'}),frozenset({'CuO_0'}),0.14,0.71,0.14,1.0,1.4,0.04,inf
frozenset({'CaO_2'}),frozenset({'Na2O_0'}),0.14,0.8,0.14,1.0,1.26,0.03,inf
frozenset({'CaO_2'}),frozenset({'SO2_0'}),0.14,0.9,0.14,1.0,1.11,0.01,inf
frozenset({'CuO_1'}),frozenset({'SnO2_0'}),0.22,0.9,0.22,1.0,1.11,0.02,inf
frozenset({'MgO_1'}),frozenset({'SO2_0'}),0.47,0.9,0.47,1.0,1.11,0.05,inf
frozenset({'CuO_0'}),frozenset({'SO2_0'}),0.71,0.9,0.71,1.0,1.11,0.07,inf
frozenset({'BaO_2'}),frozenset({'Al2O3_0'}),0.1,0.53,0.1,1.0,1.88,0.05,inf
frozenset({'BaO_0'}),frozenset({'SO2_0'}),0.78,0.9,0.76,0.97,1.08,0.06,3.88
frozenset({'Fe2O3_0'}),frozenset({'SnO2_0'}),0.71,0.9,0.69,0.97,1.08,0.05,3.57
frozenset({'CaO_0'}),frozenset({'SnO2_0'}),0.53,0.9,0.51,0.96,1.07,0.03,2.65
frozenset({'MgO_0'}),frozenset({'SnO2_0'}),0.51,0.9,0.49,0.96,1.07,0.03,2.55
frozenset({'SrO_0'}),frozenset({'SO2_0'}),0.51,0.9,0.49,0.96,1.07,0.03,2.55
frozenset({'PbO_1'}),frozenset({'SO2_0'}),0.41,0.9,0.39,0.95,1.06,0.02,2.04
frozenset({'Al2O3_1'}),frozenset({'BaO_0'}),0.41,0.78,0.39,0.95,1.23,0.07,4.49
frozenset({'SiO2_2'}),frozenset({'BaO_0'}),0.39,0.78,0.37,0.95,1.22,0.07,4.27
frozenset({'SiO2_2'}),frozenset({'P2O5_0'}),0.39,0.65,0.37,0.95,1.45,0.11,6.59
frozenset({'SiO2_2'}),frozenset({'SO2_0'}),0.39,0.9,0.37,0.95,1.06,0.02,1.94
frozenset({'CaO_1'}),frozenset({'Na2O_0'}),0.33,0.8,0.31,0.94,1.18,0.05,3.27
frozenset({'SiO2_0'}),frozenset({'SnO2_0'}),0.33,0.9,0.31,0.94,1.04,0.01,1.63
frozenset({'K2O_0'}),frozenset({'SnO2_0'}),0.61,0.9,0.57,0.93,1.04,0.02,1.53
frozenset({'SiO2_1'}),frozenset({'Na2O_0'}),0.29,0.8,0.27,0.93,1.17,0.04,2.86
frozenset({'P2O5_1'}),frozenset({'SnO2_0'}),0.29,0.9,0.27,0.93,1.03,0.01,1.43
frozenset({'Fe2O3_1'}),frozenset({'BaO_0'}),0.27,0.78,0.24,0.92,1.19,0.04,2.92
frozenset({'CaO_0'}),frozenset({'P2O5_0'}),0.53,0.65,0.49,0.92,1.41,0.14,4.51
frozenset({'Fe2O3_1'}),frozenset({'Na2O_0'}),0.27,0.8,0.24,0.92,1.16,0.03,2.65
frozenset({'SrO_0'}),frozenset({'SnO2_0'}),0.51,0.9,0.47,0.92,1.02,0.01,1.28
frozenset({'CuO_0'}),frozenset({'BaO_0'}),0.71,0.78,0.65,0.91,1.18,0.1,2.62
frozenset({'PbO_0'}),frozenset({'SnO2_0'}),0.47,0.9,0.43,0.91,1.02,0.01,1.17
frozenset({'MgO_1'}),frozenset({'BaO_0'}),0.47,0.78,0.43,0.91,1.18,0.06,2.58
frozenset({'P2O5_0'}),frozenset({'SO2_0'}),0.65,0.9,0.59,0.91,1.01,0.01,1.09
frozenset({'SrO_1'}),frozenset({'Na2O_0'}),0.41,0.8,0.37,0.9,1.13,0.04,2.04
frozenset({'K2O_0'}),frozenset({'SO2_0'}),0.61,0.9,0.55,0.9,1.0,0.0,1.02
frozenset({'SiO2_2'}),frozenset({'PbO_0'}),0.39,0.47,0.35,0.89,1.91,0.16,5.04
frozenset({'Al2O3_0'}),frozenset({'Fe2O3_0'}),0.53,0.71,0.47,0.88,1.24,0.09,2.48
frozenset({'SrO_0'}),frozenset({'BaO_0'}),0.51,0.78,0.45,0.88,1.13,0.05,1.87
frozenset({'CaO_2'}),frozenset({'CuO_0'}),0.14,0.71,0.12,0.86,1.2,0.02,2.0
frozenset({'Na2O_1'}),frozenset({'CaO_0'}),0.14,0.53,0.12,0.86,1.62,0.05,3.29
frozenset({'Na2O_1'}),frozenset({'SrO_0'}),0.14,0.51,0.12,0.86,1.68,0.05,3.43
frozenset({'Na2O_1'}),frozenset({'Fe2O3_0'}),0.14,0.71,0.12,0.86,1.2,0.02,2.0
frozenset({'CaO_2'}),frozenset({'SrO_1'}),0.14,0.41,0.12,0.86,2.1,0.06,4.14
frozenset({'Na2O_1'}),frozenset({'SiO2_2'}),0.14,0.39,0.12,0.86,2.21,0.07,4.29
frozenset({'PbO_1'}),frozenset({'Na2O_0'}),0.41,0.8,0.35,0.85,1.07,0.02,1.36
frozenset({'PbO_1'}),frozenset({'CuO_0'}),0.41,0.71,0.35,0.85,1.19,0.06,1.9
frozenset({'Fe2O3_1'}),frozenset({'CuO_0'}),0.27,0.71,0.22,0.85,1.18,0.03,1.86
frozenset({'CaO_0'}),frozenset({'Fe2O3_0'}),0.53,0.71,0.45,0.85,1.18,0.07,1.86
frozenset({'BaO_0'}),frozenset({'CuO_0'}),0.78,0.71,0.65,0.84,1.18,0.1,1.81
frozenset({'SO2_0'}),frozenset({'BaO_0'}),0.9,0.78,0.76,0.84,1.08,0.06,1.41
frozenset({'BaO_1'}),frozenset({'Al2O3_0'}),0.12,0.53,0.1,0.83,1.57,0.04,2.82
frozenset({'PbO_2'}),frozenset({'K2O_0'}),0.12,0.61,0.1,0.83,1.36,0.03,2.33
frozenset({'BaO_1'}),frozenset({'Fe2O3_0'}),0.12,0.71,0.1,0.83,1.17,0.01,1.71
frozenset({'BaO_1'}),frozenset({'Na2O_0'}),0.12,0.8,0.1,0.83,1.05,0.0,1.22
frozenset({'PbO_2'}),frozenset({'CuO_0'}),0.12,0.71,0.1,0.83,1.17,0.01,1.71
frozenset({'PbO_0'}),frozenset({'P2O5_0'}),0.47,0.65,0.39,0.83,1.26,0.08,1.99
frozenset({'K2O_1'}),frozenset({'Na2O_0'}),0.35,0.8,0.29,0.82,1.03,0.01,1.16
frozenset({'K2O_1'}),frozenset({'BaO_0'}),0.35,0.78,0.29,0.82,1.06,0.02,1.27
frozenset({'CuO_1'}),frozenset({'Fe2O3_0'}),0.22,0.71,0.18,0.82,1.15,0.02,1.57
frozenset({'SiO2_0'}),frozenset({'Fe2O3_0'}),0.33,0.71,0.27,0.81,1.14,0.03,1.52
frozenset({'SiO2_0'}),frozenset({'K2O_0'}),0.33,0.61,0.27,0.81,1.33,0.07,2.07
frozenset({'P2O5_0'}),frozenset({'BaO_0'}),0.65,0.78,0.53,0.81,1.05,0.02,1.2
frozenset({'Al2O3_0'}),frozenset({'Na2O_0'}),0.53,0.8,0.43,0.81,1.01,0.01,1.06
frozenset({'MgO_0'}),frozenset({'Fe2O3_0'}),0.51,0.71,0.41,0.8,1.12,0.04,1.43
frozenset({'MgO_0'}),frozenset({'Na2O_0'}),0.51,0.8,0.41,0.8,1.01,0.0,1.02
frozenset({'MgO_0'}),frozenset({'Al2O3_0'}),0.51,0.53,0.41,0.8,1.51,0.14,2.35
frozenset({'SrO_0'}),frozenset({'CuO_0'}),0.51,0.71,0.41,0.8,1.12,0.04,1.43
